Time,Time,Res_Albarqueira,Res_Aveleira,Res_Espinheira,PE_Aveleira,PE_Albarqueira,PE_Espinheira,P_Albarqueira,P_Aveleira,Val_Espinheira
2019-10-23 04:22:00,2019-10-23 04:22:00,0.0,0.0,0.0,368.99999618,819.0000057000001,258.00001146000005,1,1,0
2019-10-23 04:25:00,2019-10-23 04:25:00,1.0540000000000038,0.0,0.0,371.99998853999995,816.0000228,234.0000057,1,1,1
2019-10-23 04:26:00,2019-10-23 04:26:00,0.0,0.0,-3.3000000000000096,390.0,870.0,245.9999943,1,1,0
2019-10-23 04:27:00,2019-10-23 04:27:00,0.0,0.0,3.3000000000000096,384.00000570000003,786.0000228,251.99998853999998,1,1,1
2019-10-23 04:28:00,2019-10-23 04:28:00,0.0,3.1920000600000265,-3.3000000000000096,414.00000573,804.0000057,245.9999943,1,1,0
2019-10-23 04:30:00,2019-10-23 04:30:00,0.0,0.0,1.6500000000000048,390.0,816.0000228,251.99998853999998,1,1,1
2019-10-23 04:31:00,2019-10-23 04:31:00,0.0,0.0,0.0,425.99999427,821.9999886,248.99999142,1,1,0
2019-10-23 04:35:00,2019-10-23 04:35:00,0.0,0.0,0.0,414.00000570000003,816.0000228,245.9999943,1,1,1
2019-10-23 04:36:00,2019-10-23 04:36:00,3.1619999400000065,0.0,0.0,372.600002292,822.59998518,251.39999485200002,1,1,0
2019-10-23 04:41:00,2019-10-23 04:41:00,0.0,0.0,0.0,390.0,881.9999885999999,258.00001146000005,1,1,1
2019-10-23 04:42:00,2019-10-23 04:42:00,0.0,0.0,0.0,426.00000286799997,1547.3999976600003,255.00000000000006,1,1,0
2019-10-23 04:52:00,2019-10-23 04:52:00,0.0,0.3192000119999978,0.0,384.00000570000003,821.9999885999999,258.00001146000005,1,1,1
2019-10-23 04:53:00,2019-10-23 04:53:00,0.0,0.0,0.0,406.49999498999995,817.5,252.749998575,1,1,0
2019-10-23 04:57:00,2019-10-23 04:57:00,0.7905000000000029,0.0,0.0,408.00001146000005,821.9999885999999,245.9999943,1,1,1
2019-10-23 04:58:00,2019-10-23 04:58:00,0.0,0.0,0.0,410.00000001999996,822.0000076,253.99999618,1,1,0
2019-10-23 05:01:00,2019-10-23 05:01:00,0.0,0.0,0.0,408.00001146000005,833.9999772,251.99998853999998,1,1,1
2019-10-23 05:02:00,2019-10-23 05:02:00,0.0,0.0,0.0,638.1200015003999,1835.4799909660003,300.88000135299995,1,1,0
2019-10-23 07:32:00,2019-10-23 07:32:00,0.10539999959999982,0.1489600048,-0.022000000000000065,1301.4324250378381,3590.0540651054057,457.2702711986487,1,0,0
2019-10-23 09:23:00,2019-10-23 09:23:00,0.15667567513513528,-0.1150270308108107,-0.029729729729729575,1128.7796629813558,3051.457621361017,679.22033908,0,0,0
2019-10-23 12:20:00,2019-10-23 12:20:00,-0.16971186372881358,-0.0901694942372882,-0.018644067796610223,960.0,3827.9999543999998,618.0000114000001,0,1,0
2019-10-23 12:21:00,2019-10-23 12:21:00,-3.161999999999985,0.0,0.0,802.6318675371429,3529.038450186263,508.1868146006043,1,1,0
2019-10-23 15:33:00,2019-10-23 15:33:00,0.03293749999999998,0.13300000406250012,-0.01718750000000005,960.3164051142188,3140.5664011136723,583.2539080789452,1,0,0
2019-10-23 20:07:00,2019-10-23 20:07:00,0.1615620431386862,-0.08154744788321167,-0.024087591240875887,1284.466665146667,3395.319998145333,597.3199985508003,0,0,0
2019-10-24 00:08:00,2019-10-24 00:08:00,-0.19680497850622417,-0.10595850946058101,-0.02738589211618254,464.79036895971717,1533.093484805099,279.8413618136258,1,1,0
2019-10-24 06:14:00,2019-10-24 06:14:00,0.11231147508196723,0.1482622998360656,0.0,408.00001146000005,2694.0000918,275.99999429999997,1,1,1
2019-10-24 06:15:00,2019-10-24 06:15:00,0.0,0.0,0.0,498.7499892674999,2726.2499999250003,288.00000429,1,1,0
2019-10-24 06:23:00,2019-10-24 06:23:00,-0.3952499999999981,0.39900001499999727,0.4125000000000012,636.0000228,2730.0,288.00001146000005,1,1,1
2019-10-24 06:24:00,2019-10-24 06:24:00,-1.5809999999999924,0.0,0.0,597.7142892442856,3123.7142454428576,294.4285712942857,1,1,0
2019-10-24 06:45:00,2019-10-24 06:45:00,-0.22585714285714306,0.15200000285714413,0.15714285714285633,696.0000228,2705.9999082000004,305.99999429999997,1,1,1
2019-10-24 06:46:00,2019-10-24 06:46:00,-3.1620000000000115,0.0,0.0,710.437495725,2860.87500571875,339.9375021468749,1,1,0
2019-10-24 07:02:00,2019-10-24 07:02:00,-0.19762500000000072,0.0,0.2062500000000006,833.9999772,3347.9999543999998,341.99998853999995,1,1,1
2019-10-24 07:03:00,2019-10-24 07:03:00,0.0,0.0,0.0,752.0000076,4261.9999694,366.00000382,1,1,0
2019-10-24 07:06:00,2019-10-24 07:06:00,0.0,1.0640000399999927,0.0,1040.24998195,2484.9999905,373.7500035750001,1,0,0
2019-10-24 07:18:00,2019-10-24 07:18:00,0.0,-0.2660000099999982,0.2749999999999986,1116.0000228000001,1290.0,450.0,1,0,1
2019-10-24 07:19:00,2019-10-24 07:19:00,0.0,0.0,0.0,1190.0,1262.0000076,464.00000570000003,1,0,0
2019-10-24 07:22:00,2019-10-24 07:22:00,0.0,0.0,0.0,1050.0,1326.0000228000001,498.00001146000005,1,0,1
2019-10-24 07:23:00,2019-10-24 07:23:00,0.0,0.0,0.0,1281.8181869999999,1353.8181652363637,440.45455065818186,1,0,0
2019-10-24 07:34:00,2019-10-24 07:34:00,0.0,0.0,0.3000000000000009,1247.9999544,1302.0000456,425.99999429999997,1,0,1
2019-10-24 07:35:00,2019-10-24 07:35:00,0.0,0.0,0.0,1310.5999946799998,2020.4000091600003,417.79999829,1,0,0
2019-10-24 07:50:00,2019-10-24 07:50:00,-0.21079999600000043,-0.21280000400000176,0.22000000000000064,1283.9999771999999,1470.0,360.0,1,0,1
2019-10-24 07:51:00,2019-10-24 07:51:00,0.0,0.0,0.0,1244.4999886000003,1535.4999876499999,434.99999642000006,1,0,0
2019-10-24 08:03:00,2019-10-24 08:03:00,0.0,0.0,0.2749999999999986,1223.9999771999999,1590.0,486.00002286000006,1,0,1
2019-10-24 08:04:00,2019-10-24 08:04:00,0.0,0.0,0.0,1215.6428473714288,3690.0000164785715,461.78571224142854,1,0,0
2019-10-24 08:18:00,2019-10-24 08:18:00,-0.22585714285714367,-0.228000008571427,0.2357142857142864,1253.9999771999999,3612.0000456000002,294.00000570000003,1,0,1
2019-10-24 08:19:00,2019-10-24 08:19:00,0.0,0.0,0.0,1287.1846152092305,3727.5230765815386,516.8769248796923,1,0,0
2019-10-24 09:24:00,2019-10-24 09:24:00,0.1945846144615391,-0.09821538830769205,-0.05076923076923092,1106.6610110237289,3100.4745683762717,700.5593241616948,0,0,0
2019-10-24 12:21:00,2019-10-24 12:21:00,-0.1786440671186442,-0.0901694942372882,-0.018644067796610073,904.0534352885496,3631.3511620099234,563.5419857590074,1,1,0
2019-10-24 14:32:00,2019-10-24 14:32:00,0.02413740458015276,0.12183206473282454,-0.025190839694656565,893.3366338329702,2848.4950514930697,519.8118815560392,1,0,0
2019-10-24 19:44:00,2019-10-24 19:44:00,0.18242307615384615,-0.07161538692307691,-0.02115384615384613,1295.6977634910443,3660.9850672835823,575.8208947212312,0,0,0
2019-10-25 00:31:00,2019-10-25 00:31:00,-0.2093310096167248,-0.10009756411149827,-0.022996515679442484,683.9999772,2802.0000456000002,341.99998853999995,1,0,0
2019-10-25 00:32:00,2019-10-25 00:32:00,0.0,0.0,0.0,632.9804357641957,1792.4413060571735,311.7586948869133,1,1,0
2019-10-25 08:45:00,2019-10-25 08:45:00,0.11544827549695735,0.1359675500202839,-0.013387423935091316,1296.0000228000001,3450.0,570.0,1,0,0
